Period,1 iterations,2 iterations,3 iterations,4 iterations,5 iterations
1.25,25.0,45.0,65.0,85.0,105.0
2.5,25.0,45.0,65.0,85.0,105.0
3.75,25.0,45.75,66.5,87.25,125.75
5.0,28.0,48.0,68.0,88.0,108.0
6.25,31.0,52.5,74.0,95.5,125.0
7.5,25.0,48.0,71.0,94.0,138.5
8.75,26.5,51.0,75.5,100.0,166.75
10.0,28.0,48.0,68.0,88.0,108.0
11.25,29.5,50.25,71.0,91.75,141.0
12.5,31.0,52.5,74.0,95.5,140.0
13.75,32.5,54.75,77.0,99.25,137.75
15.0,34.0,57.0,80.0,103.0,169.0
16.25,35.5,59.25,83.0,106.75,166.0
17.5,37.0,61.5,86.0,110.5,172.0
18.75,38.5,63.75,89.0,136.5,185.0
20.0,40.0,66.0,92.0,138.0,188.0
21.25,41.5,68.25,95.0,139.5,191.0
22.5,43.0,70.5,98.0,151.0,207.5
23.75,44.5,72.75,101.0,155.5,206.0
25.0,46.0,75.0,104.0,160.0,212.0
26.25,47.5,77.25,107.0,164.5,218.0
27.5,49.0,79.5,110.0,169.0,208.0
28.75,50.5,81.75,113.0,173.5,212.75
30.0,52.0,84.0,116.0,178.0,218.0
