Period,1 iterations,2 iterations,3 iterations,4 iterations,5 iterations
1.25,70.0,117.5,175.0,262.5,417.5
2.5,70.0,117.5,175.0,262.5,417.5
3.75,71.5,121.25,177.25,265.5,421.25
5.0,73.0,122.0,181.0,270.0,428.0
6.25,73.75,125.0,184.0,270.0,435.75
7.5,76.0,123.5,179.5,270.0,436.5
8.75,71.5,122.75,188.5,276.75,434.0
10.0,76.0,125.0,184.0,273.0,431.0
11.25,80.5,132.5,188.5,305.0,460.75
12.5,77.5,132.5,203.0,300.5,474.0
13.75,81.25,131.0,197.0,308.0,482.0
15.0,85.0,137.0,193.0,305.0,480.0
16.25,88.75,143.0,215.0,322.5,496.0
17.5,82.0,128.0,213.5,311.0,492.0
18.75,85.0,132.5,199.25,330.0,507.25
20.0,88.0,137.0,206.0,315.0,499.0
21.25,91.0,141.5,212.75,308.75,523.25
22.5,94.0,146.0,219.5,343.0,544.5
23.75,97.0,150.5,226.25,353.5,529.25
25.0,85.0,155.0,233.0,368.0,553.0
26.25,87.25,159.5,243.75,378.5,568.75
27.5,89.5,147.5,213.5,372.5,547.5
28.75,91.75,151.25,218.75,343.75,527.25
30.0,94.0,155.0,224.0,352.0,540.0
