Period,1 iterations,2 iterations,3 iterations,4 iterations,5 iterations
1.25,45.0,65.0,85.0,105.0,155.0
2.5,45.0,65.0,85.0,105.0,155.0
3.75,45.75,66.5,87.25,125.75,186.5
5.0,48.0,68.0,88.0,108.0,168.0
6.25,52.5,74.0,95.5,125.0,191.0
7.5,48.0,71.0,94.0,138.5,191.0
8.75,51.0,75.5,100.0,166.75,209.75
10.0,48.0,68.0,88.0,108.0,168.0
11.25,50.25,71.0,91.75,141.0,203.25
12.5,52.5,74.0,95.5,140.0,191.0
13.75,54.75,77.0,99.25,137.75,200.75
15.0,57.0,80.0,103.0,169.0,210.0
16.25,59.25,83.0,106.75,166.0,217.25
17.5,61.5,86.0,110.5,172.0,219.0
18.75,63.75,89.0,136.5,185.0,290.25
20.0,66.0,92.0,138.0,188.0,234.0
21.25,68.25,95.0,139.5,191.0,285.0
22.5,70.5,98.0,151.0,207.5,294.0
23.75,72.75,101.0,155.5,206.0,300.0
25.0,75.0,104.0,160.0,212.0,306.0
26.25,77.25,107.0,164.5,218.0,303.0
27.5,79.5,110.0,169.0,208.0,307.5
28.75,81.75,113.0,173.5,212.75,309.0
30.0,84.0,116.0,178.0,218.0,312.0
